TM,STN,TA,POP,is_precip,WD_sin,WD_cos,SKY
202110170000,105,8.3,0,0,-1.0,-1.8369701987210297e-16,DB03
202110170100,105,7.1,0,0,-1.0,-1.8369701987210297e-16,DB02
202110170200,105,6.2,0,0,-1.0,-1.8369701987210297e-16,DB01
202110170300,105,5.4,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110170400,105,4.3,0,0,-0.7660444431189779,-0.6427876096865395,DB01
202110170500,105,3.7,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110170600,105,3.1,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110170700,105,2.7,0,0,-0.7660444431189779,-0.6427876096865395,DB02
202110170800,105,4.4,0,0,-0.9396926207859084,-0.34202014332566855,DB02
202110170900,105,6.5,0,0,-0.9396926207859083,0.342020143325669,DB02
202110171000,105,7.8,0,0,-0.6427876096865396,0.7660444431189778,DB02
202110171100,105,9.6,0,0,-0.6427876096865396,0.7660444431189778,DB02
202110171200,105,10.6,0,0,0.766044443118978,0.6427876096865394,DB01
202110171300,105,11.0,0,0,0.766044443118978,0.6427876096865394,DB01
202110171400,105,12.1,0,0,0.3420201433256687,0.9396926207859084,DB01
202110171500,105,12.5,0,0,1.0,6.123233995736766e-17,DB01
202110171600,105,12.4,0,0,0.9396926207859083,0.3420201433256688,DB01
202110171700,105,11.6,0,0,0.9396926207859084,-0.3420201433256687,DB01
202110171800,105,9.9,0,0,1.2246467991473532e-16,-1.0,DB01
202110171900,105,7.7,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110172000,105,6.6,0,0,1.2246467991473532e-16,-1.0,DB01
202110172100,105,6.1,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110172200,105,6.1,0,0,-0.7660444431189779,-0.6427876096865395,DB01
202110172300,105,6.3,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110180000,105,6.2,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110180100,105,5.9,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110180200,105,5.8,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110180300,105,5.6,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110180400,105,5.5,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110180500,105,5.4,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110180600,105,5.2,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110180700,105,5.2,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110180800,105,7.1,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110180900,105,10.0,0,0,-0.9396926207859084,-0.34202014332566855,DB01
202110181000,105,13.7,0,0,-0.34202014332566866,-0.9396926207859084,DB01
202110181100,105,16.0,0,0,0.9396926207859084,-0.3420201433256687,DB01
202110181200,105,17.8,0,0,0.9396926207859084,-0.3420201433256687,DB01
202110181300,105,18.2,0,0,0.9396926207859083,0.3420201433256688,DB01
202110181400,105,18.8,0,0,1.0,6.123233995736766e-17,DB01
202110181500,105,18.9,0,0,1.0,6.123233995736766e-17,DB01
202110181600,105,18.2,0,0,1.0,6.123233995736766e-17,DB02
202110181700,105,17.1,0,0,0.6427876096865395,-0.7660444431189779,DB02
202110181800,105,15.1,0,0,-0.34202014332566866,-0.9396926207859084,DB03
202110181900,105,13.0,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110182000,105,11.7,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110182100,105,11.3,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110182200,105,11.5,0,0,-0.7660444431189779,-0.6427876096865395,DB04
202110182300,105,12.2,0,0,-0.7660444431189779,-0.6427876096865395,DB04
202110190000,105,12.2,0,0,-0.7660444431189779,-0.6427876096865395,DB04
202110190100,105,12.5,0,0,-0.7660444431189779,-0.6427876096865395,DB04
202110190200,105,12.9,0,0,-0.9396926207859083,0.342020143325669,DB04
202110190300,105,13.4,0,0,-0.7660444431189779,-0.6427876096865395,DB04
202110190400,105,13.3,0,0,-0.9396926207859084,-0.34202014332566855,DB04
202110190500,105,12.5,100,1,-0.7660444431189779,-0.6427876096865395,DB04
202110190600,105,12.0,100,1,-0.7660444431189779,-0.6427876096865395,DB04
202110190700,105,11.6,0,0,-1.0,-1.8369701987210297e-16,DB04
202110190800,105,11.9,0,0,-0.9396926207859084,-0.34202014332566855,DB03
202110190900,105,12.8,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110191000,105,15.7,0,0,-0.7660444431189779,-0.6427876096865395,DB01
202110191100,105,16.3,0,0,-0.9396926207859083,0.342020143325669,DB03
202110191200,105,16.8,0,0,-0.6427876096865396,0.7660444431189778,DB03
202110191300,105,15.3,0,0,-0.9396926207859083,0.342020143325669,DB03
202110191400,105,15.0,0,0,0.0,1.0,DB03
202110191500,105,13.0,100,1,0.0,1.0,DB03
